,"Matthew 1:1 The book of the generation of Jesus Christ, the son of David, the son of Abraham.","Mattheus 1:1 DIE geslagsregister van Jesus Christus, die seun van Dawid, die seun van Abraham:"
,"Matthew 8:4 And Jesus saith unto him, See thou tell no man; but go thy way, shew thyself to the priest, and offer the gift that Moses commanded, for a testimony unto them.","Mattheus 8:4 En Jesus sê vir hom: Pas op dat jy dit aan niemand vertel nie, maar gaan vertoon jou aan die priester en offer die gawe wat Moses voorgeskrywe het, tot ’n getuienis vir hulle."
,"Matthew 8:5 And when Jesus was entered into Capernaum, there came unto him a centurion, beseeching him,","Mattheus 8:5 EN nadat Jesus in Kapérnaüm ingegaan het, kom daar ’n hoofman oor honderd na Hom toe en smeek Hom"
,"Matthew 8:6 And saying, Lord, my servant lieth at home sick of the palsy, grievously tormented.","Mattheus 8:6 en sê: Here, my kneg lê tuis verlam en hy ly hewige pyne."
,"Matthew 8:7 And Jesus saith unto him, I will come and heal him.",Mattheus 8:7 Daarop sê Jesus vir hom: Ek sal kom en hom gesond maak.
,"Matthew 8:8 The centurion answered and said, Lord, I am not worthy that thou shouldest come under my roof: but speak the word only, and my servant shall be healed.","Mattheus 8:8 En die hoofman oor honderd antwoord en sê: Here, ek is nie werd dat U onder my dak inkom nie; maar spreek net ’n woord, en my kneg sal gesond word."
,"Matthew 8:9 For I am a man under authority, having soldiers under me: and I say to this [man], Go, and he goeth; and to another, Come, and he cometh; and to my servant, Do this, and he doeth [it].","Mattheus 8:9 Want ek is ook ’n man onder gesag, en ek het soldate onder my. En vir hierdie een sê ek: Gaan! en hy gaan; en vir ’n ander een: Kom! en hy kom; en vir my dienskneg: Doen dit! en hy doen dit."
,"Matthew 8:10 When Jesus heard [it], he marvelled, and said to them that followed, Verily I say unto you, I have not found so great faith, no, not in Israel.","Mattheus 8:10 Toe Jesus dit hoor, het Hy Hom verwonder en aan sy volgelinge gesê: Voorwaar Ek sê vir julle, selfs in Israel het Ek so ’n groot geloof nie gevind nie."
,"Matthew 8:11 And I say unto you, That many shall come from the east and west, and shall sit down with Abraham, and Isaac, and Jacob, in the kingdom of heaven.",Mattheus 8:11 Maar Ek sê vir julle dat baie sal kom van ooste en weste en saam met Abraham en Isak en Jakob sal aansit in die koninkryk van die hemele.
,Matthew 8:12 But the children of the kingdom shall be cast out into outer darkness: there shall be weeping and gnashing of teeth.,Mattheus 8:12 Maar die kinders van die koninkryk sal uitgedryf word in die buitenste duisternis. Daar sal geween wees en gekners van die tande.
,"Matthew 8:13 And Jesus said unto the centurion, Go thy way; and as thou hast believed, [so] be it done unto thee. And his servant was healed in the selfsame hour.","Mattheus 8:13 Toe sê Jesus vir die hoofman oor honderd: Gaan, en laat dit vir jou wees soos jy geglo het. En sy kneg het gesond geword in daardie uur."
,"Matthew 8:14 And when Jesus was come into Peter's house, he saw his wife's mother laid, and sick of a fever.","Mattheus 8:14 EN toe Jesus in die huis van Petrus kom, sien Hy sy skoonmoeder siek lê aan die koors."
,"Matthew 8:15 And he touched her hand, and the fever left her: and she arose, and ministered unto them.","Mattheus 8:15 En Hy het haar hand aangeraak, en die koors het haar verlaat, en sy het opgestaan en hulle bedien."
,"Matthew 8:16 When the even was come, they brought unto him many that were possessed with devils: and he cast out the spirits with [his] word, and healed all that were sick:","Mattheus 8:16 En toe dit aand geword het, het hulle baie na Hom gebring, wat van duiwels besete was; en Hy het die geeste met ’n woord uitgedrywe; en almal wat ongesteld was, het Hy gesond gemaak,"
,"Matthew 8:17 That it might be fulfilled which was spoken by Esaias the prophet, saying, Himself took our infirmities, and bare [our] sicknesses.","Mattheus 8:17 sodat vervul sou word wat gespreek is deur Jesaja, die profeet, toe hy gesê het: Hy het ons krankhede op Hom geneem en ons siektes gedra."
,"Matthew 8:18 Now when Jesus saw great multitudes about him, he gave commandment to depart unto the other side.","Mattheus 8:18 EN toe Jesus groot menigtes rondom Hom sien, het Hy bevel gegee om te vertrek na die oorkant."
,"Matthew 8:19 And a certain scribe came, and said unto him, Master, I will follow thee whithersoever thou goest.","Mattheus 8:19 En ’n sekere skrifgeleerde het gekom en vir Hom gesê: Meester, ek sal U volg waar U ook al mag gaan."
,"Matthew 8:20 And Jesus saith unto him, The foxes have holes, and the birds of the air [have] nests; but the Son of man hath not where to lay [his] head.","Mattheus 8:20 En Jesus sê vir hom: Die jakkalse het gate en die voëls van die hemel neste, maar die Seun van die mens het geen plek waar Hy sy hoof kan neerlê nie."
,"Matthew 8:21 And another of his disciples said unto him, Lord, suffer me first to go and bury my father.","Mattheus 8:21 En ’n ander een van sy dissipels het vir Hom gesê: Here, laat my toe om eers te gaan en my vader te begrawe."
,"Matthew 8:22 But Jesus said unto him, Follow me; and let the dead bury their dead.","Mattheus 8:22 Maar Jesus sê vir hom: Volg My, en laat die dooies hul eie dooies begrawe."
,"Matthew 8:23 And when he was entered into a ship, his disciples followed him.","Mattheus 8:23 EN toe Hy in die skuit klim, het sy dissipels Hom gevolg."
,"Matthew 8:24 And, behold, there arose a great tempest in the sea, insomuch that the ship was covered with the waves: but he was asleep.","Mattheus 8:24 En daar het ’n groot storm op die see gekom, sodat die skuit toe was onder die golwe; maar Hy was aan die slaap."
,"Matthew 8:25 And his disciples came to [him], and awoke him, saying, Lord, save us: we perish.","Mattheus 8:25 Daarop kom sy dissipels en maak Hom wakker en sê: Here, red ons, ons vergaan!"
,"Matthew 8:26 And he saith unto them, Why are ye fearful, O ye of little faith? Then he arose, and rebuked the winds and the sea; and there was a great calm.","Mattheus 8:26 En Hy sê vir hulle: Waarom is julle bang, kleingelowiges? Toe staan Hy op en bestraf die winde en die see, en daar het ’n groot stilte gekom."
,"Matthew 8:27 But the men marvelled, saying, What manner of man is this, that even the winds and the sea obey him!","Mattheus 8:27 En die manne het hulle verwonder en gesê: Wat vir ’n mens is Hy, dat selfs die winde en die see Hom gehoorsaam is?"
,"Matthew 8:28 And when he was come to the other side into the country of the Gergesenes, there met him two possessed with devils, coming out of the tombs, exceeding fierce, so that no man might pass by that way.","Mattheus 8:28 EN toe Hy aan die oorkant kom, in die land van die Gergeséners, het twee duiwelbesetenes Hom ontmoet, wat uit die grafte uitgekom het en baie kwaai was, sodat niemand met daardie pad kon verbygaan nie."
,"Matthew 8:29 And, behold, they cried out, saying, What have we to do with thee, Jesus, thou Son of God? art thou come hither to torment us before the time?","Mattheus 8:29 En meteens skreeu hulle en sê: Wat het ons met U te doen, Jesus, Seun van God? Het U hier gekom om ons voor die tyd te pynig?"
,Matthew 8:30 And there was a good way off from them an herd of many swine feeding.,Mattheus 8:30 En ver van hulle af het ’n groot trop varke gewei.
,"Matthew 8:31 So the devils besought him, saying, If thou cast us out, suffer us to go away into the herd of swine.","Mattheus 8:31 En die duiwels het Hom gesmeek en gesê: As U ons uitdryf, laat ons toe om in die trop varke te vaar."
,"Matthew 8:32 And he said unto them, Go. And when they were come out, they went into the herd of swine: and, behold, the whole herd of swine ran violently down a steep place into the sea, and perished in the waters.",Mattheus 8:32 En Hy sê vir hulle: Gaan! Toe gaan hulle uit en vaar in die trop varke in; en daar storm die hele trop varke van die krans af die see in en kom in die water om.
,"Matthew 8:33 And they that kept them fled, and went their ways into the city, and told every thing, and what was befallen to the possessed of the devils.","Mattheus 8:33 En die wagters het gevlug; en toe hulle in die stad kom, het hulle alles vertel, ook wat met die besetenes gebeur het."
,"Matthew 8:34 And, behold, the whole city came out to meet Jesus: and when they saw him, they besought [him] that he would depart out of their coasts.","Mattheus 8:34 En kyk, die hele stad het uitgekom, Jesus tegemoet; en toe hulle Hom sien, smeek hulle dat Hy uit hulle gebied moet weggaan."
,"Matthew 9:1 And he entered into a ship, and passed over, and came into his own city.","Mattheus 9:1 EN nadat Hy in die skuit geklim het, het Hy oorgevaar en in sy eie stad gekom."
,"Matthew 9:2 And, behold, they brought to him a man sick of the palsy, lying on a bed: and Jesus seeing their faith said unto the sick of the palsy; Son, be of good cheer; thy sins be forgiven thee.","Mattheus 9:2 En hulle het ’n verlamde man wat op ’n bed lê, na Hom gebring. En toe Jesus hulle geloof sien, sê Hy aan die verlamde: Seun, hou goeie moed, jou sondes is jou vergewe."
,"Matthew 9:3 And, behold, certain of the scribes said within themselves, This [man] blasphemeth.",Mattheus 9:3 En sommige van die skrifgeleerdes het by hulleself gesê: Hierdie man praat godslasterlik.
,"Matthew 9:4 And Jesus knowing their thoughts said, Wherefore think ye evil in your hearts?","Mattheus 9:4 En toe Jesus merk wat hulle gedagtes was, sê Hy: Waarom bedink julle slegte dinge in julle harte?"
,"Matthew 9:5 For whether is easier, to say, [Thy] sins be forgiven thee; or to say, Arise, and walk?","Mattheus 9:5 Want wat is makliker, om te sê: Die sondes is jou vergewe! of om te sê: Staan op en loop?"
,"Matthew 9:6 But that ye may know that the Son of man hath power on earth to forgive sins, (then saith he to the sick of the palsy,) Arise, take up thy bed, and go unto thine house.","Mattheus 9:6 Maar dat julle kan weet dat die Seun van die mens mag het om op aarde sondes te vergewe — toe sê Hy vir die verlamde man: Staan op, neem jou bed op en gaan na jou huis toe."
,"Matthew 9:7 And he arose, and departed to his house.",Mattheus 9:7 En hy het opgestaan en huis toe gegaan.
,"Matthew 9:8 But when the multitudes saw [it], they marvelled, and glorified God, which had given such power unto men.","Mattheus 9:8 En toe die skare dit sien, was hulle verwonderd en het God verheerlik wat so ’n mag aan die mense gegee het."
,"Matthew 9:9 And as Jesus passed forth from thence, he saw a man, named Matthew, sitting at the receipt of custom: and he saith unto him, Follow me. And he arose, and followed him.","Mattheus 9:9 EN toe Jesus daarvandaan verder gaan, sien Hy ’n man met die naam van Matthéüs by die tolhuis sit; en Hy sê vir hom: Volg My. En hy het opgestaan en Hom gevolg."
,"Matthew 9:10 And it came to pass, as Jesus sat at meat in the house, behold, many publicans and sinners came and sat down with him and his disciples.","Mattheus 9:10 En terwyl Hy in die huis aan tafel was, het daar baie tollenaars en sondaars saam met Jesus en sy dissipels aan tafel gegaan."
,"Matthew 9:11 And when the Pharisees saw [it], they said unto his disciples, Why eateth your Master with publicans and sinners?","Mattheus 9:11 En toe die Fariseërs dit sien, sê hulle vir sy dissipels: Waarom eet julle Meester saam met tollenaars en sondaars?"
,"Matthew 9:12 But when Jesus heard [that], he said unto them, They that be whole need not a physician, but they that are sick.","Mattheus 9:12 Maar toe Jesus dit hoor, sê Hy vir hulle: Die wat gesond is, het die geneesheer nie nodig nie, maar die wat ongesteld is."
,"Matthew 9:13 But go ye and learn what [that] meaneth, I will have mercy, and not sacrifice: for I am not come to call the righteous, but sinners to repentance.","Mattheus 9:13 Maar gaan leer wat dit beteken: Ek wil barmhartigheid hê en nie offerande nie; want Ek het nie gekom om regverdiges te roep nie, maar sondaars tot bekering."
,"Matthew 9:14 Then came to him the disciples of John, saying, Why do we and the Pharisees fast oft, but thy disciples fast not?","Mattheus 9:14 DAARNA kom die dissipels van Johannes na Hom en sê: Waarom vas ons en die Fariseërs dikwels, maar u dissipels vas nie?"
,"Matthew 9:15 And Jesus said unto them, Can the children of the bridechamber mourn, as long as the bridegroom is with them? but the days will come, when the bridegroom shall be taken from them, and then shall they fast.","Mattheus 9:15 En Jesus sê vir hulle: Kan die bruilofsgaste dan treur so lank as die bruidegom by hulle is? Maar daar sal dae kom wanneer die bruidegom van hulle weggeneem word, en dan sal hulle vas."
,"Matthew 9:16 No man putteth a piece of new cloth unto an old garment, for that which is put in to fill it up taketh from the garment, and the rent is made worse.",Mattheus 9:16 En niemand sit ’n nuwe stuk lap op ’n ou kleed nie; want die aangelapte stuk skeur van die kleed af en daar kom ’n erger skeur.
,"Matthew 9:17 Neither do men put new wine into old bottles: else the bottles break, and the wine runneth out, and the bottles perish: but they put new wine into new bottles, and both are preserved.",Mattheus 9:17 ’n Mens gooi ook nie nuwe wyn in ou leersakke nie; anders bars die sakke en die wyn loop uit en die sakke vergaan. Maar ’n mens gooi nuwe wyn in nuwe sakke en altwee bly behoue.
,"Matthew 9:18 While he spake these things unto them, behold, there came a certain ruler, and worshipped him, saying, My daughter is even now dead: but come and lay thy hand upon her, and she shall live.","Mattheus 9:18 TERWYL Hy vir hulle dit sê, kom daar ’n sekere owerste en val voor Hom neer en sê: My dogter het nou net gesterwe, maar kom en lê u hand op haar, en sy sal lewe."
,"Matthew 9:19 And Jesus arose, and followed him, and [so did] his disciples.","Mattheus 9:19 En Jesus het opgestaan en hom gevolg, en ook sy dissipels."
,"Matthew 9:20 And, behold, a woman, which was diseased with an issue of blood twelve years, came behind [him], and touched the hem of his garment:","Mattheus 9:20 En daar het ’n vrou wat twaalf jaar lank aan bloedvloeiing gely het, van agter gekom en die soom van sy kleed aangeraak."
,"Matthew 9:21 For she said within herself, If I may but touch his garment, I shall be whole.","Mattheus 9:21 Want sy het by haarself gesê: As ek maar net sy kleed kan aanraak, sal ek gesond word."
,"Matthew 9:22 But Jesus turned him about, and when he saw her, he said, Daughter, be of good comfort; thy faith hath made thee whole. And the woman was made whole from that hour.","Mattheus 9:22 En Jesus het omgedraai en haar gesien en gesê: Hou goeie moed, dogter, jou geloof het jou gered. En die vrou het gesond geword van daardie uur af."
,"Matthew 9:23 And when Jesus came into the ruler's house, and saw the minstrels and the people making a noise,","Mattheus 9:23 En toe Jesus in die huis van die owerste kom en die fluitspelers sien, en die skare wat te kere gaan,"
,"Matthew 9:24 He said unto them, Give place: for the maid is not dead, but sleepeth. And they laughed him to scorn.","Mattheus 9:24 sê Hy vir hulle: Gaan weg, want die dogtertjie is nie dood nie, maar sy slaap. En hulle het Hom uitgelag."
,"Matthew 9:25 But when the people were put forth, he went in, and took her by the hand, and the maid arose.","Mattheus 9:25 En nadat die skare uitgedryf was, het Hy ingegaan en haar hand gegryp; en die dogtertjie het opgestaan."
,Matthew 9:26 And the fame hereof went abroad into all that land.,Mattheus 9:26 En die gerug hiervan het deur daardie hele land versprei.
,"Matthew 9:27 And when Jesus departed thence, two blind men followed him, crying, and saying, [Thou] Son of David, have mercy on us.","Mattheus 9:27 EN toe Jesus daarvandaan verder gaan, het twee blindes Hom gevolg, terwyl hulle uitroep en sê: Wees ons barmhartig, Seun van Dawid!"
af:p,"Matthew 9:28 And when he was come into the house, the blind men came to him: and Jesus saith unto them, Believe ye that I am able to do this? They said unto him, Yea, Lord.","Mattheus 9:28 En nadat Hy in die huis gegaan het, kom die blindes na Hom toe. En Jesus sê vir hulle: Glo julle dat Ek dit kan doen? Hulle antwoord Hom: Ja, Here."
,"Matthew 9:29 Then touched he their eyes, saying, According to your faith be it unto you.",Mattheus 9:29 Toe raak Hy hulle oë aan en sê: Laat dit vir julle wees volgens julle geloof.
,"Matthew 9:30 And their eyes were opened; and Jesus straitly charged them, saying, See [that] no man know [it].","Mattheus 9:30 En hulle oë het oopgegaan. En Jesus het hulle skerp aangespreek en gesê: Pas op, laat niemand dit te wete kom nie."
,"Matthew 9:31 But they, when they were departed, spread abroad his fame in all that country.",Mattheus 9:31 Maar hulle het heengegaan en Hom in daardie hele land bekend gemaak.
af:p,"Matthew 9:32 As they went out, behold, they brought to him a dumb man possessed with a devil.","Mattheus 9:32 En terwyl hulle weggaan, bring die mense ’n stom man wat van die duiwel besete was, na Hom toe."
,"Matthew 9:33 And when the devil was cast out, the dumb spake: and the multitudes marvelled, saying, It was never so seen in Israel.","Mattheus 9:33 En nadat die duiwel uitgedryf was, het die stomme gepraat. En die skare het hulle verwonder en gesê: So iets is nog nooit in Israel gesien nie!"
,"Matthew 9:34 But the Pharisees said, He casteth out devils through the prince of the devils.",Mattheus 9:34 Maar die Fariseërs het gesê: Deur die owerste van die duiwels dryf Hy die duiwels uit.
,"Matthew 9:35 And Jesus went about all the cities and villages, teaching in their synagogues, and preaching the gospel of the kingdom, and healing every sickness and every disease among the people.",Mattheus 9:35 EN Jesus het by al die stede en dorpe rondgegaan en in hulle sinagoges geleer en die evangelie van die koninkryk verkondig en elke siekte en elke kwaal onder die volk genees.
,"Matthew 9:36 But when he saw the multitudes, he was moved with compassion on them, because they fainted, and were scattered abroad, as sheep having no shepherd.","Mattheus 9:36 En toe Hy die skare sien, het Hy innig jammer gevoel vir hulle, omdat hulle moeg en uitgeput was, soos skape wat geen herder het nie."
,"Matthew 9:37 Then saith he unto his disciples, The harvest truly [is] plenteous, but the labourers [are] few;","Mattheus 9:37 Toe sê Hy vir sy dissipels: Die oes is wel groot, maar die arbeiders min."
af:p,"Matthew 9:38 Pray ye therefore the Lord of the harvest, that he will send forth labourers into his harvest.","Mattheus 9:38 Bid dan die Here van die oes, dat Hy arbeiders in sy oes mag uitstuur."
,"Matthew 10:1 And when he had called unto [him] his twelve disciples, he gave them power [against] unclean spirits, to cast them out, and to heal all manner of sickness and all manner of disease.","Mattheus 10:1 EN Hy het sy twaalf dissipels na Hom geroep en aan hulle mag gegee oor onreine geeste, om hulle uit te dryf en om elke siekte en elke kwaal te genees."
,"Matthew 10:2 Now the names of the twelve apostles are these; The first, Simon, who is called Peter, and Andrew his brother; James [the son] of Zebedee, and John his brother;","Mattheus 10:2 En dit is die name van die twaalf apostels: die eerste Simon wat Petrus genoem word, en Andréas, sy broer; Jakobus, die seun van Sebedéüs, en Johannes, sy broer;"
,"Matthew 10:3 Philip, and Bartholomew; Thomas, and Matthew the publican; James [the son] of Alphaeus, and Lebbaeus, whose surname was Thaddaeus;","Mattheus 10:3 Filippus en Bartholoméüs; Thomas en Matthéüs, die tollenaar; Jakobus, die seun van Alféüs, en Lebbéüs wat genoem word Thaddéüs;"
,"Matthew 10:4 Simon the Canaanite, and Judas Iscariot, who also betrayed him.","Mattheus 10:4 Simon Kananítes en Judas Iskáriot, die een wat Hom verraai het."
en:p,"Matthew 10:5 These twelve Jesus sent forth, and commanded them, saying, Go not into the way of the Gentiles, and into [any] city of the Samaritans enter ye not:","Mattheus 10:5 Jesus het hierdie twaalf uitgestuur en hulle bevel gegee en gesê: Moenie gaan op pad na die heidene nie, en moenie ingaan in ’n stad van die Samaritane nie;"
,Matthew 10:6 But go rather to the lost sheep of the house of Israel.,Mattheus 10:6 maar gaan liewer na die verlore skape van die huis van Israel.
,"Matthew 10:7 And as ye go, preach, saying, The kingdom of heaven is at hand.",Mattheus 10:7 En gaan preek en sê: Die koninkryk van die hemele het naby gekom.
,"Matthew 10:8 Heal the sick, cleanse the lepers, raise the dead, cast out devils: freely ye have received, freely give.","Mattheus 10:8 Maak siekes gesond, reinig melaatses, wek dooies op, dryf duiwels uit. Julle het dit verniet ontvang, verniet moet julle dit gee."
,"Matthew 10:9 Provide neither gold, nor silver, nor brass in your purses,",Mattheus 10:9 Moenie vir julle goud of silwer of koper in julle beurse aanskaf nie;
,"Matthew 10:10 Nor scrip for [your] journey, neither two coats, neither shoes, nor yet staves: for the workman is worthy of his meat.",Mattheus 10:10 geen reissak vir die pad of twee kledingstukke of skoene of ’n stok nie; want die arbeider is sy voedsel werd.
,"Matthew 10:11 And into whatsoever city or town ye shall enter, enquire who in it is worthy; and there abide till ye go thence.","Mattheus 10:11 En in watter stad of dorp julle ook al mag ingaan, ondersoek wie daarin waardig is, en bly dáár totdat julle vertrek."
,"Matthew 10:12 And when ye come into an house, salute it.","Mattheus 10:12 En as julle die huis ingaan, groet dit;"
,"Matthew 10:13 And if the house be worthy, let your peace come upon it: but if it be not worthy, let your peace return to you.","Mattheus 10:13 en as die huis dit waardig is, laat julle vrede daarop kom, maar as dit nie waardig is nie, laat julle vrede na julle terugkeer."
,"Matthew 10:14 And whosoever shall not receive you, nor hear your words, when ye depart out of that house or city, shake off the dust of your feet.","Mattheus 10:14 En as iemand julle nie ontvang nie en na julle woorde nie luister nie, gaan uit daardie huis of daardie stad uit en skud die stof van julle voete af."
,"Matthew 10:15 Verily I say unto you, It shall be more tolerable for the land of Sodom and Gomorrha in the day of judgment, than for that city.","Mattheus 10:15 Voorwaar Ek sê vir julle, dit sal vir die land van Sodom en Gomorra verdraagliker wees in die oordeelsdag as vir daardie stad."
,"Matthew 10:16 Behold, I send you forth as sheep in the midst of wolves: be ye therefore wise as serpents, and harmless as doves.","Mattheus 10:16 Kyk, Ek stuur julle soos skape onder die wolwe in; wees dan versigtig soos die slange en opreg soos die duiwe."
,"Matthew 10:17 But beware of men: for they will deliver you up to the councils, and they will scourge you in their synagogues;","Mattheus 10:17 Maar pas op vir die mense; want hulle sal jul oorlewer aan regbanke, en in hulle sinagoges sal hulle julle gésel."
,"Matthew 10:18 And ye shall be brought before governors and kings for my sake, for a testimony against them and the Gentiles.",Mattheus 10:18 En ook voor goewerneurs en konings sal julle gebring word om My ontwil tot ’n getuienis vir hulle en vir die heidene.
,"Matthew 10:19 But when they deliver you up, take no thought how or what ye shall speak: for it shall be given you in that same hour what ye shall speak.","Mattheus 10:19 Maar wanneer hulle jul oorlewer, moenie julle kwel oor hoe of wat julle sal spreek nie, want dit sal julle in daardie uur gegee word wat julle moet spreek;"
,"Matthew 10:20 For it is not ye that speak, but the Spirit of your Father which speaketh in you.","Mattheus 10:20 want dit is nie julle wat spreek nie, maar die Gees van julle Vader wat in julle spreek."
,"Matthew 10:21 And the brother shall deliver up the brother to death, and the father the child: and the children shall rise up against [their] parents, and cause them to be put to death.","Mattheus 10:21 Maar die een broer sal die ander tot die dood oorlewer en die vader sy kind, en die kinders sal teen hulle ouers opstaan en hulle doodmaak."
,Matthew 10:22 And ye shall be hated of all [men] for my name's sake: but he that endureth to the end shall be saved.,"Mattheus 10:22 En julle sal deur almal gehaat word ter wille van my Naam. Maar wie volhard tot die einde toe, hy sal gered word."
,"Matthew 10:23 But when they persecute you in this city, flee ye into another: for verily I say unto you, Ye shall not have gone over the cities of Israel, till the Son of man be come.","Mattheus 10:23 En wanneer hulle julle vervolg in die een stad, vlug na die ander toe. Want voorwaar Ek sê vir julle, julle sal met die stede van Israel sekerlik nie klaar kry voordat die Seun van die mens kom nie."
,"Matthew 10:24 The disciple is not above [his] master, nor the servant above his lord.",Mattheus 10:24 ’n Leerling is nie bo die meester nie en ’n dienskneg ook nie bo sy heer nie.
,"Matthew 10:25 It is enough for the disciple that he be as his master, and the servant as his lord. If they have called the master of the house Beelzebub, how much more [shall they call] them of his household?","Mattheus 10:25 Dit is vir die leerling genoeg dat hy soos sy meester word en die dienskneg soos sy heer. As hulle die heer van die huis Beëlsebul genoem het, hoeveel te meer sy huisgenote!"
,"Matthew 10:26 Fear them not therefore: for there is nothing covered, that shall not be revealed; and hid, that shall not be known.","Mattheus 10:26 Vrees hulle dan nie; want daar is niks bedek wat nie ontdek sal word nie, en verborge wat nie bekend sal word nie."
,"Matthew 10:27 What I tell you in darkness, [that] speak ye in light: and what ye hear in the ear, [that] preach ye upon the housetops.","Mattheus 10:27 Wat Ek vir julle in die donker sê, vertel dit in die lig; en wat julle in die oor hoor, verkondig dit op die dakke."
,"Matthew 10:28 And fear not them which kill the body, but are not able to kill the soul: but rather fear him which is able to destroy both soul and body in hell.","Mattheus 10:28 En moenie vrees vir die wat die liggaam doodmaak, maar die siel nie kan doodmaak nie; maar vrees Hom liewer wat die siel sowel as die liggaam kan verderwe in die hel."
,Matthew 10:29 Are not two sparrows sold for a farthing? and one of them shall not fall on the ground without your Father.,Mattheus 10:29 Word twee mossies nie vir ’n stuiwer verkoop nie? En nie een van hulle sal op die aarde val sonder julle Vader nie.
,Matthew 10:30 But the very hairs of your head are all numbered.,Mattheus 10:30 En van julle is selfs die hare van die hoof almal getel.
,"Matthew 10:31 Fear ye not therefore, ye are of more value than many sparrows.",Mattheus 10:31 Wees dan nie bevrees nie: julle is meer werd as baie mossies.
,"Matthew 10:32 Whosoever therefore shall confess me before men, him will I confess also before my Father which is in heaven.","Mattheus 10:32 Elkeen dan wat My sal bely voor die mense, hom sal Ek ook bely voor my Vader wat in die hemele is."
,"Matthew 10:33 But whosoever shall deny me before men, him will I also deny before my Father which is in heaven.","Mattheus 10:33 Maar elkeen wat My verloën voor die mense, hom sal Ek ook verloën voor my Vader wat in die hemele is."
,"Matthew 10:34 Think not that I am come to send peace on earth: I came not to send peace, but a sword.","Mattheus 10:34 Moenie dink dat Ek gekom het om vrede op die aarde te bring nie. Ek het nie gekom om vrede te bring nie, maar die swaard."
,"Matthew 10:35 For I am come to set a man at variance against his father, and the daughter against her mother, and the daughter in law against her mother in law.","Mattheus 10:35 Want Ek het gekom om tweedrag te verwek tussen ’n man en sy vader, en tussen ’n dogter en haar moeder, en ’n skoondogter en haar skoonmoeder."
,Matthew 10:36 And a man's foes [shall be] they of his own household.,Mattheus 10:36 En ’n mens se huisgenote sal sy vyande wees.
,Matthew 10:37 He that loveth father or mother more than me is not worthy of me: and he that loveth son or daughter more than me is not worthy of me.,"Mattheus 10:37 Wie vader of moeder bo My liefhet, is My nie waardig nie; en wie seun of dogter bo My liefhet, is My nie waardig nie."
,"Matthew 10:38 And he that taketh not his cross, and followeth after me, is not worthy of me.","Mattheus 10:38 En wie sy kruis nie neem en agter My volg nie, is My nie waardig nie."
,Matthew 10:39 He that findeth his life shall lose it: and he that loseth his life for my sake shall find it.,"Mattheus 10:39 Wie sy lewe vind, sal dit verloor; en wie sy lewe verloor om My ontwil, sal dit vind."
,"Matthew 10:40 He that receiveth you receiveth me, and he that receiveth me receiveth him that sent me.","Mattheus 10:40 Wie julle ontvang, ontvang My; en wie My ontvang, ontvang Hom wat My gestuur het."
,Matthew 10:41 He that receiveth a prophet in the name of a prophet shall receive a prophet's reward; and he that receiveth a righteous man in the name of a righteous man shall receive a righteous man's reward.,"Mattheus 10:41 Wie ’n profeet ontvang omdat hy ’n profeet is, sal die loon van ’n profeet ontvang; en wie ’n regverdige ontvang omdat hy ’n regverdige is, sal die loon van ’n regverdige ontvang."
,"Matthew 10:42 And whosoever shall give to drink unto one of these little ones a cup of cold [water] only in the name of a disciple, verily I say unto you, he shall in no wise lose his reward.","Mattheus 10:42 En elkeen wat een van hierdie kleintjies net ’n beker kou water laat drink, omdat hy ’n dissipel is, voorwaar Ek sê vir julle, hy sal sy loon sekerlik nie verloor nie."
,"Matthew 11:1 And it came to pass, when Jesus had made an end of commanding his twelve disciples, he departed thence to teach and to preach in their cities.","Mattheus 11:1 EN toe Jesus klaar was met bevele aan sy twaalf dissipels te gee, het Hy daarvandaan weggegaan om te leer en te preek in hulle stede."
,"Matthew 11:2 Now when John had heard in the prison the works of Christ, he sent two of his disciples,","Mattheus 11:2 En Johannes het in die gevangenis gehoor van die werke van Christus, en twee van sy dissipels gestuur"
,"Matthew 11:3 And said unto him, Art thou he that should come, or do we look for another?","Mattheus 11:3 en vir Hom gesê: Is U die Een wat sou kom, of moet ons ’n ander een verwag?"
,"Matthew 11:4 Jesus answered and said unto them, Go and shew John again those things which ye do hear and see:",Mattheus 11:4 En Jesus het geantwoord en vir hulle gesê: Gaan vertel aan Johannes wat julle hoor en sien:
,"Matthew 11:5 The blind receive their sight, and the lame walk, the lepers are cleansed, and the deaf hear, the dead are raised up, and the poor have the gospel preached to them.","Mattheus 11:5 blindes sien weer en kreupeles loop, melaatses word gereinig en dowes hoor, dooies word opgewek en aan armes word die evangelie verkondig."
,"Matthew 11:6 And blessed is [he], whosoever shall not be offended in me.",Mattheus 11:6 En salig is elkeen wat aan My nie aanstoot neem nie.
,"Matthew 11:7 And as they departed, Jesus began to say unto the multitudes concerning John, What went ye out into the wilderness to see? A reed shaken with the wind?","Mattheus 11:7 En toe hulle vertrek, begin Jesus vir die skare aangaande Johannes te sê: Wat het julle uitgegaan om in die woestyn te aanskou? ’n Riet wat deur die wind beweeg word?"
,"Matthew 11:8 But what went ye out for to see? A man clothed in soft raiment? behold, they that wear soft [clothing] are in kings' houses.","Mattheus 11:8 Maar wat het julle uitgegaan om te sien? ’n Man met sagte klere aan? Kyk, die wat sagte klere dra, is in die huise van konings."
